SID,Nombre,Código,Organización,Latitud,Longitud,Altura,Medida,Valor,Confianza
114,"Putaendo Rdo. Los Patos","05414001-0","dga",-32.5017,-70.5811,1218.0,"Temperatura",,0
477,"Puerto Aysén Ad.","450001","dmc",-45.3961,-72.6639,11.0,"Temperatura",16.5,100
352,"Río Magniguales antes Junta Río Simpson","11308001-9","dga",-45.3833,-72.4667,20.0,"Temperatura",,0
913,"UNAP (Universidad Arturo Prat), Iquique","200010","dmc",-20.270833333333332,-70.13083333333333,30.0,"Temperatura",21.29,100
599,"Panquehue","AG29","agromet",-32.756638889,-70.808833333,553.0,"Temperatura",24.43,100
1322,"Cañal Bajo,  Osorno Ad.","400009","dmc",-40.61444,-73.0575,61.0,"Temperatura",18.84,100
1124,"Combarbalá [C.del Sur]","CEAZA_COMB_Combarbalá [C.del Sur]","ceaza",-31.20022,-71.00015,1136.0,"Temperatura",24.21,100
17,"Q. Camiña 3 Km. A. Arriba de Tarcavire","01610004-8","dga",-19.1181,-69.2447,3848.0,"Temperatura",,0
345,"ancud doh","10900002-7","dga",-41.8792,-73.7964,9.0,"Temperatura",,0
726,"San Ignacio","AG110","agromet",-36.843611111,-72.124722222,182.0,"Temperatura",22.05,100
128,"Río Olivares antes Junta Río Colorado","05706001-8","dga",-33.4878,-70.1367,1500.0,"Temperatura",,0
68,"Río Copiapo en Pastillo","03430003-8","dga",-28.0003,-69.9747,1300.0,"Temperatura",,0
1478,"Peor es Nada","AG774","agromet",-34.783248,-71.043411,279.0,"Temperatura",21.69,100
254,"Bío Bío Llanquén","08307002-1","dga",-38.2008,-71.2989,767.0,"Temperatura",,0
233,"Talca U.c.","07378002-0","dga",-35.4358,-71.6197,130.0,"Temperatura",,0
1310,"Pampa Concordia","AG655","agromet",-18.362922,-70.302033,102.0,"Temperatura",22.25,100
1225,"LINARES","07358007-2","dga",-35.8381,-71.5953,153.0,"Temperatura",,0
388,"Río las Chinas antes Desague Del Toro","12284007-7","dga",-51.25,-72.5167,50.0,"Temperatura",,0
6,"Lluta Alcérreca","01201003-6","dga",-18.0036,-69.6331,3550.0,"Temperatura",,0
555,"El Tapado","AG330","agromet",-30.1567,-69.91421,4452.0,"Temperatura",,0
534,"El Romeral","AG356","agromet",-29.75497,-71.25753,154.0,"Temperatura",17.24,100
634,"HUECHÚN EX Lampa","AG40","agromet",-33.021944444,-71.186388889,600.0,"Temperatura",26.44,100
207,"Cn Maule Norte en Aforador","07321003-8","dga",-35.7039,-71.1161,461.0,"Temperatura",,0
287,"Cn Laja Camino Tucapel","08380002-K","dga",-37.3003,-71.9703,298.0,"Temperatura",,0
645,"Santa Rita","AG221","agromet",-33.718611111,-70.669166667,520.0,"Temperatura",,0
593,"Petorca","AG21","agromet",-32.396666667,-71.029444444,253.0,"Temperatura",20.31,100
